Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
LP002244,Male,Yes,0,Graduate,No,2333,2417.0,136.0,360.0,1.0,Urban
LP002990,Female,No,0,Graduate,Yes,4583,0.0,133.0,360.0,0.0,Semiurban
LP002226,Male,Yes,0,Graduate,,3333,2500.0,128.0,360.0,1.0,Semiurban
LP001514,Female,Yes,0,Graduate,No,2330,4486.0,100.0,360.0,1.0,Semiurban
LP001259,Male,Yes,1,Graduate,Yes,1000,3022.0,110.0,360.0,1.0,Urban
LP002379,Male,No,0,Graduate,No,6500,0.0,105.0,360.0,0.0,Rural
LP002894,Female,Yes,0,Graduate,No,3166,0.0,36.0,360.0,1.0,Semiurban
LP001194,Male,Yes,2,Graduate,No,2708,1167.0,97.0,360.0,1.0,Semiurban
LP001036,Female,No,0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban
LP001693,Female,No,0,Graduate,No,3244,0.0,80.0,360.0,1.0,Urban
LP001255,Male,No,0,Graduate,No,3750,0.0,113.0,480.0,1.0,Urban
LP002776,Female,No,0,Graduate,No,5000,0.0,103.0,360.0,0.0,Semiurban
LP002684,Female,No,0,Not Graduate,No,3400,0.0,95.0,360.0,1.0,Rural
LP001726,Male,Yes,0,Graduate,No,3727,1775.0,131.0,360.0,1.0,Semiurban
LP001245,Male,Yes,2,Not Graduate,Yes,1875,1875.0,97.0,360.0,1.0,Semiurban
LP001926,Male,Yes,0,Graduate,No,3704,2000.0,120.0,360.0,1.0,Rural
LP001005,Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban
LP001489,Female,Yes,0,Graduate,No,4583,0.0,84.0,360.0,1.0,Rural
LP002517,Male,Yes,1,Not Graduate,No,2653,1500.0,113.0,180.0,0.0,Rural
LP001385,Male,No,0,Graduate,No,5316,0.0,136.0,360.0,1.0,Urban
LP001179,Male,Yes,2,Graduate,No,4616,0.0,134.0,360.0,1.0,Urban
LP001487,Male,No,0,Graduate,No,4895,0.0,102.0,360.0,1.0,Semiurban
LP001316,Male,Yes,0,Graduate,No,2958,2900.0,131.0,360.0,1.0,Semiurban
LP001482,Male,Yes,0,Graduate,Yes,3459,0.0,25.0,120.0,1.0,Semiurban
LP002670,Female,Yes,2,Graduate,No,2031,1632.0,113.0,480.0,1.0,Semiurban
LP001954,Female,Yes,1,Graduate,No,4666,0.0,135.0,360.0,1.0,Urban
LP002209,Female,No,0,Graduate,,2764,1459.0,110.0,360.0,1.0,Urban
LP002536,Male,Yes,3+,Not Graduate,No,3095,0.0,113.0,360.0,1.0,Rural
LP001579,Male,No,0,Graduate,No,2237,0.0,63.0,480.0,0.0,Semiurban
LP002588,Male,Yes,0,Graduate,No,4625,2857.0,111.0,12.0,,Urban
LP002978,Female,No,0,Graduate,No,2900,0.0,71.0,360.0,1.0,Rural
LP001265,Female,No,0,Graduate,No,3846,0.0,111.0,360.0,1.0,Semiurban
LP001024,Male,Yes,2,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban
LP001195,Male,Yes,0,Graduate,No,2132,1591.0,96.0,360.0,1.0,Semiurban
LP001560,Male,Yes,0,Not Graduate,No,1863,1041.0,98.0,360.0,1.0,Semiurban
LP001744,Male,No,0,Graduate,No,2971,2791.0,144.0,360.0,1.0,Semiurban
LP002407,Female,Yes,0,Not Graduate,Yes,7142,0.0,138.0,360.0,1.0,Rural
LP001770,Male,No,0,Not Graduate,No,3189,2598.0,120.0,,1.0,Rural
LP002484,Male,Yes,3+,Graduate,No,7740,0.0,128.0,180.0,1.0,Urban
LP002002,Female,No,0,Graduate,No,2917,0.0,84.0,360.0,1.0,Semiurban
LP001765,Male,Yes,1,Graduate,No,2491,2054.0,104.0,360.0,1.0,Semiurban
LP001343,Male,Yes,0,Graduate,No,1759,3541.0,131.0,360.0,1.0,Semiurban
LP002603,Female,No,0,Graduate,No,645,3683.0,113.0,480.0,1.0,Rural
LP002863,Male,Yes,3+,Graduate,No,6406,0.0,150.0,360.0,1.0,Semiurban
LP002459,Male,Yes,0,Graduate,No,4301,0.0,118.0,360.0,1.0,Urban
LP001674,Male,Yes,1,Not Graduate,No,2600,2500.0,90.0,360.0,1.0,Semiurban
LP001963,Male,Yes,1,Graduate,No,2014,2925.0,113.0,360.0,1.0,Urban
LP002837,Male,Yes,3+,Graduate,No,3400,2500.0,123.0,360.0,0.0,Rural
LP001112,Female,Yes,0,Graduate,No,3667,1459.0,144.0,360.0,1.0,Semiurban
LP002219,Male,Yes,3+,Graduate,No,8750,4996.0,130.0,360.0,1.0,Rural
LP001199,Male,Yes,2,Not Graduate,No,3357,2859.0,144.0,360.0,1.0,Urban
LP002357,Female,No,0,Not Graduate,No,2720,0.0,80.0,,0.0,Urban
LP002926,Male,Yes,2,Graduate,Yes,2726,0.0,106.0,360.0,0.0,Semiurban
LP001993,Female,No,0,Graduate,No,3762,1666.0,135.0,360.0,1.0,Rural
LP002370,Male,No,0,Not Graduate,No,2717,0.0,60.0,180.0,1.0,Urban
LP002753,Female,No,1,Graduate,,3652,0.0,95.0,360.0,1.0,Semiurban
LP001029,Male,No,0,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural
LP002398,Male,No,0,Graduate,No,1926,1851.0,50.0,360.0,1.0,Semiurban
LP001924,Male,No,0,Graduate,No,3158,3053.0,89.0,360.0,1.0,Rural
LP002418,Male,No,3+,Not Graduate,No,4707,1993.0,148.0,360.0,1.0,Semiurban
LP001087,Female,No,2,Graduate,,3750,2083.0,120.0,360.0,1.0,Semiurban
LP002494,Male,No,0,Graduate,No,6000,0.0,140.0,360.0,1.0,Rural
LP002618,Male,Yes,1,Not Graduate,No,4050,5302.0,138.0,360.0,,Rural
LP001722,Male,Yes,0,Graduate,No,150,1800.0,135.0,360.0,1.0,Rural
LP002953,Male,Yes,3+,Graduate,No,5703,0.0,128.0,360.0,1.0,Urban
LP001319,Male,Yes,2,Not Graduate,No,3273,1820.0,81.0,360.0,1.0,Urban
LP001964,Male,Yes,0,Not Graduate,No,1800,2934.0,93.0,360.0,0.0,Urban
LP002051,Male,Yes,0,Graduate,No,2400,2167.0,115.0,360.0,1.0,Semiurban
LP001896,Male,Yes,2,Graduate,No,3900,0.0,90.0,360.0,1.0,Semiurban
LP002585,Male,Yes,0,Graduate,No,3597,2157.0,119.0,360.0,0.0,Rural
LP002114,Female,No,0,Graduate,No,4160,0.0,71.0,360.0,1.0,Semiurban
LP002211,Male,Yes,0,Graduate,No,4817,923.0,120.0,180.0,1.0,Urban
LP001940,Male,Yes,2,Graduate,No,3153,1560.0,134.0,360.0,1.0,Urban
LP002181,Male,No,0,Not Graduate,No,6216,0.0,133.0,360.0,1.0,Rural
LP002586,Female,Yes,1,Graduate,No,3326,913.0,105.0,84.0,1.0,Semiurban
LP002297,Male,No,0,Graduate,No,2500,20000.0,103.0,360.0,1.0,Semiurban
LP001264,Male,Yes,3+,Not Graduate,Yes,3333,2166.0,130.0,360.0,,Semiurban
